accuracy,baseline,class,classifier,elapsed_sec,f1,f1_micro,f1_weighted,feature,n_test,n_train_bal,n_train_raw,pr_auc,precision,precision_micro,precision_weighted,recall,recall_micro,recall_weighted,roc_auc,support,task,task_type
,,Fluent,dnn,,0.5593715037957528,,,mfcc45,,,,,0.9133521581282775,,,0.40313259876486685,,,,196578,multiclass,multiclass
,,I,dnn,,0.12004517221908527,,,mfcc45,,,,,0.07465936226998174,,,0.3061635944700461,,,,3472,multiclass,multiclass
,,PR,dnn,,0.016183412002697236,,,mfcc45,,,,,0.008328834734325595,,,0.28421052631578947,,,,1140,multiclass,multiclass
,,PhR,dnn,,0.022235660789877657,,,mfcc45,,,,,0.015423335054207538,,,0.039826695550741545,,,,6001,multiclass,multiclass
,,WR,dnn,,0.03525548706722737,,,mfcc45,,,,,0.024865919063871283,,,0.060558084306352664,,,,5053,multiclass,multiclass
,,PWR,dnn,,0.027745041920603387,,,mfcc45,,,,,0.015534273433376065,,,0.12968209002203337,,,,3177,multiclass,multiclass
,,P,dnn,,0.0,,,mfcc45,,,,,0.0,,,0.0,,,,105,multiclass,multiclass
0.8746137356977812,0.9838905746870448,__all__,rf,42.89948606491089,0.5123268431018855,0.8746137356977812,0.9191146202354374,mfcc45,215526,361083,6476654,0.12093421420508352,0.5204799620641906,0.8746137356977812,0.9737953596317382,0.6383876415337038,0.8746137356977812,0.8746137356977812,0.7101135121916385,,fluent_vs_I,binary
,,not_I,rf,,0.932657180592589,,,mfcc45,,,,,0.9888868925574416,,,0.882478048044366,,,,212054,fluent_vs_I,binary
,,I,rf,,0.09199650561118204,,,mfcc45,,,,,0.052073031570939524,,,0.3942972350230415,,,,3472,fluent_vs_I,binary
0.9348245687295268,0.9995128197990034,__all__,rf,14.890536308288574,0.48315727629165117,0.9348245687295268,0.9658437832653488,mfcc45,215526,19314,6476654,0.000326325608219614,0.49973956266370345,0.9348245687295268,0.9989921988862379,0.46764010936723904,0.9348245687295268,0.9348245687295268,0.3259591351685438,,fluent_vs_P,binary
,,not_P,rf,,0.9663145525833023,,,mfcc45,,,,,0.9994791253274069,,,0.9352802187344781,,,,215421,fluent_vs_P,binary
,,P,rf,,0.0,,,mfcc45,,,,,0.0,,,0.0,,,,105,fluent_vs_P,binary
0.8413230886296781,0.994710614960608,__all__,rf,29.483297109603882,0.4686139658171923,0.8413230886296781,0.9089368981182396,mfcc45,215526,203247,6476654,0.012272909435137647,0.5040929417811504,0.8413230886296781,0.9907938533844771,0.6030755518697951,0.8413230886296781,0.8413230886296781,0.6999798322455266,,fluent_vs_PR,binary
,,not_PR,rf,,0.9136447767450199,,,mfcc45,,,,,0.9959975996608695,,,0.8438704019852042,,,,214386,fluent_vs_PR,binary
,,PR,rf,,0.02358315488936474,,,mfcc45,,,,,0.012188283901431311,,,0.362280701754386,,,,1140,fluent_vs_PR,binary
0.7382125590416005,0.9852593190612734,__all__,rf,53.94054985046387,0.4426312238766753,0.7382125590416005,0.8365563668447021,mfcc45,215526,443277,6476654,0.031853080645791065,0.5031513815116876,0.7382125590416005,0.972618369884744,0.541437141240098,0.7382125590416005,0.7382125590416005,0.5542337890543008,,fluent_vs_PWR,binary
,,not_PWR,rf,,0.8485225973077605,,,mfcc45,,,,,0.9868793285413635,,,0.7441899891216818,,,,212349,fluent_vs_PWR,binary
,,PWR,rf,,0.036739850445590194,,,mfcc45,,,,,0.01942343448201166,,,0.3386842933585143,,,,3177,fluent_vs_PWR,binary
0.8279836307452465,0.972156491560183,__all__,rf,43.10333180427551,0.4634915550688908,0.8279836307452465,0.8810798216775091,mfcc45,215526,350328,6476654,0.02299624405642414,0.4910795790063511,0.8279836307452465,0.9428748205994862,0.4584649820026615,0.8279836307452465,0.8279836307452465,0.44909466367624645,,fluent_vs_PhR,binary
,,not_PhR,rf,,0.9057053910247932,,,mfcc45,,,,,0.9695176071484969,,,0.8497744899176709,,,,209525,fluent_vs_PhR,binary
,,PhR,rf,,0.021277719112988383,,,mfcc45,,,,,0.012641550864205276,,,0.06715547408765206,,,,6001,fluent_vs_PhR,binary
0.8048541707265017,0.9765550328034669,__all__,rf,32.691964864730835,0.4632535824272199,0.8048541707265017,0.8713726993724067,mfcc45,215526,237534,6476654,0.022866891211269037,0.4977969564574657,0.8048541707265017,0.9533552698459689,0.4858721810354478,0.8048541707265017,0.8048541707265017,0.4651302927128872,,fluent_vs_WR,binary
,,not_WR,rf,,0.8914508407210974,,,mfcc45,,,,,0.9757672663171216,,,0.8205470535413093,,,,210473,fluent_vs_WR,binary
,,WR,rf,,0.03505632413334251,,,mfcc45,,,,,0.019826646597809725,,,0.15119730852958638,,,,5053,fluent_vs_WR,binary
0.7313688371704574,0.9120848528715793,__all__,rf,182.51982522010803,0.49351454943241124,0.7313688371704574,0.7795735562565793,mfcc45,215526,1614783,6476654,0.11336846511551579,0.5088453794363657,0.7313688371704574,0.8444899040560009,0.5193441899835894,0.7313688371704574,0.7313688371704574,0.518244881286771,,fluent_vs_disfluent,binary
,,Fluent,rf,,0.8406020543853225,,,mfcc45,,,,,0.9160970926220409,,,0.7766026717130096,,,,196578,fluent_vs_disfluent,binary
